Mapping of Comorbidities Included in the PDPM NTA Component to ICD-10-CM Codes,,,,
Overview,,,,
"The following mappings of CCs and RxCCs to ICD-10-CM codes are based on the FY 2026 Initial Risk Adjustment model software (using HCC model v22 for CCs) and the FY 2024 Midyear Risk Adjustment model software (using RxHCC v05 for RxCCs) found at https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment. New codes with values of ""N/A"" in the RxCC/CC column (column D) have been added from the latest FY 2026 ICD-10-CM addenda found at https://www.cms.gov/medicare/coding-billing/icd-10-codes and were assigned to NTA comorbidities that share the same code family (i.e. the first 3 digits) to ensure the established NTA comorbidities are up to date. The FY 2026 ICD-10-CM addenda is also used to add new codes if they belong to the Endocarditis comorbidity and to confirm if any existing codes become unbillable and need to be removed from the existing NTA mappings.",,,,
No data,,,,
Sort Order,Comorbidity Description,RxCC/CC,ICD-10-CM Code,ICD-10-CM Code Description
This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell
1,HIV/AIDS ,N/A ,B20 ,Human immunodeficiency virus [HIV] disease 
2,Lung Transplant Status ,RxCC395 ,J4A.0 ,Restrictive allograft syndrome 
3,Lung Transplant Status ,RxCC395 ,J4A.8 ,Other chronic lung allograft dysfunction 
4,Lung Transplant Status ,RxCC395 ,J4A.9 ,"Chronic lung allograft dysfunction, unspecified "
5,Lung Transplant Status ,RxCC395 ,T86.30 ,Unspecified complication of heart-lung transplant 
6,Lung Transplant Status ,RxCC395 ,T86.31 ,Heart-lung transplant rejection 
7,Lung Transplant Status ,RxCC395 ,T86.32 ,Heart-lung transplant failure 
8,Lung Transplant Status ,RxCC395 ,T86.33 ,Heart-lung transplant infection 
9,Lung Transplant Status ,RxCC395 ,T86.39 ,Other complications of heart-lung transplant 
10,Lung Transplant Status ,RxCC395 ,T86.810 ,Lung transplant rejection 
11,Lung Transplant Status ,RxCC395 ,T86.811 ,Lung transplant failure 
12,Lung Transplant Status ,RxCC395 ,T86.812 ,Lung transplant infection 
13,Lung Transplant Status ,RxCC395 ,T86.818 ,Other complications of lung transplant 
14,Lung Transplant Status ,RxCC395 ,T86.819 ,Unspecified complication of lung transplant 
15,Lung Transplant Status ,RxCC395 ,Z48.24 ,Encounter for aftercare following lung transplant 
16,Lung Transplant Status ,RxCC395 ,Z48.280 ,Encounter for aftercare following heart-lung transplant 
17,Lung Transplant Status ,RxCC395 ,Z94.2 ,Lung transplant status 
18,Lung Transplant Status ,RxCC395 ,Z94.3 ,Heart and lungs transplant status 
19,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,M31.11 ,Hematopoietic stem cell transplantation-associated thrombotic microangiopathy [HSCT-TMA] 
20,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.10 ,Unspecified complication of kidney transplant 
21,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.11 ,Kidney transplant rejection 
22,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.12 ,Kidney transplant failure 
23,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.13 ,Kidney transplant infection 
24,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.19 ,Other complication of kidney transplant 
25,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z48.22 ,Encounter for aftercare following kidney transplant 
26,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z94.0 ,Kidney transplant status 
27,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,D89.810 ,Acute graft-versus-host disease 
28,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,D89.811 ,Chronic graft-versus-host disease 
29,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,D89.812 ,Acute on chronic graft-versus-host disease 
30,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,D89.813 ,"Graft-versus-host disease, unspecified "
31,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.00 ,Unspecified complication of bone marrow transplant 
