Mapping of Comorbidities Included in the PDPM SLP Component to ICD-10-CM Codes,,,
Overview,,,
No data,,,
Sort Order,Comorbidity Description,ICD-10-CM Code,ICD-10-CM Code Description
This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell
1,ALS ,G12.21 ,Amyotrophic lateral sclerosis 
2,Apraxia ,I69.090 ,Apraxia following nontraumatic subarachnoid hemorrhage 
3,Apraxia ,I69.190 ,Apraxia following nontraumatic intracerebral hemorrhage 
4,Apraxia ,I69.290 ,Apraxia following other nontraumatic intracranial hemorrhage 
5,Apraxia ,I69.390 ,Apraxia following cerebral infarction 
6,Apraxia ,I69.890 ,Apraxia following other cerebrovascular disease 
7,Apraxia ,I69.990 ,Apraxia following unspecified cerebrovascular disease 
8,Dysphagia ,I69.091 ,Dysphagia following nontraumatic subarachnoid hemorrhage 
9,Dysphagia ,I69.191 ,Dysphagia following nontraumatic intracerebral hemorrhage 
10,Dysphagia ,I69.291 ,Dysphagia following other nontraumatic intracranial hemorrhage 
11,Dysphagia ,I69.391 ,Dysphagia following cerebral infarction 
12,Dysphagia ,I69.891 ,Dysphagia following other cerebrovascular disease 
13,Dysphagia ,I69.991 ,Dysphagia following unspecified cerebrovascular disease 
14,Laryngeal Cancer ,C32.0 ,Malignant neoplasm of glottis 
15,Laryngeal Cancer ,C32.1 ,Malignant neoplasm of supraglottis 
16,Laryngeal Cancer ,C32.2 ,Malignant neoplasm of subglottis 
17,Laryngeal Cancer ,C32.3 ,Malignant neoplasm of laryngeal cartilage 
18,Laryngeal Cancer ,C32.8 ,Malignant neoplasm of overlapping sites of larynx 
19,Laryngeal Cancer ,C32.9 ,"Malignant neoplasm of larynx, unspecified "
20,Oral Cancers ,C00.0 ,Malignant neoplasm of external upper lip 
21,Oral Cancers ,C00.1 ,Malignant neoplasm of external lower lip 
22,Oral Cancers ,C00.2 ,"Malignant neoplasm of external lip, unspecified "
23,Oral Cancers ,C00.3 ,"Malignant neoplasm of upper lip, inner aspect "
24,Oral Cancers ,C00.4 ,"Malignant neoplasm of lower lip, inner aspect "
25,Oral Cancers ,C00.5 ,"Malignant neoplasm of lip, unspecified, inner aspect "
26,Oral Cancers ,C00.6 ,"Malignant neoplasm of commissure of lip, unspecified "
27,Oral Cancers ,C00.8 ,Malignant neoplasm of overlapping sites of lip 
28,Oral Cancers ,C00.9 ,"Malignant neoplasm of lip, unspecified "
29,Oral Cancers ,C01 ,Malignant neoplasm of base of tongue 
30,Oral Cancers ,C02.0 ,Malignant neoplasm of dorsal surface of tongue 
31,Oral Cancers ,C02.1 ,Malignant neoplasm of border of tongue 
32,Oral Cancers ,C02.2 ,Malignant neoplasm of ventral surface of tongue 
33,Oral Cancers ,C02.3 ,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified "
34,Oral Cancers ,C02.4 ,Malignant neoplasm of lingual tonsil 
35,Oral Cancers ,C02.8 ,Malignant neoplasm of overlapping sites of tongue 
36,Oral Cancers ,C02.9 ,"Malignant neoplasm of tongue, unspecified "
37,Oral Cancers ,C03.0 ,Malignant neoplasm of upper gum 
38,Oral Cancers ,C03.1 ,Malignant neoplasm of lower gum 
39,Oral Cancers ,C03.9 ,"Malignant neoplasm of gum, unspecified "
40,Oral Cancers ,C04.0 ,Malignant neoplasm of anterior floor of mouth 
41,Oral Cancers ,C04.1 ,Malignant neoplasm of lateral floor of mouth 
42,Oral Cancers ,C04.8 ,Malignant neoplasm of overlapping sites of floor of mouth 
